Kategoria,Nazwa,Cena obecna,Obnizka,#Indeks,Obraz,Rozmiary,Opis,Podsumowanie,Kolor,Aktywny,Regula podatkowa,Cana regularna przed obnizka,Wyprzedaz,Wyprzedaz od,Wyprzedaz do,Producent,Ilosc,Minimalna ilosc,Mala ilosc w magazynie,Powiadom gdy w magazynie mało,Utworzono,Magazyn,Dostepne,Pokaż cene,Tekst alternatywny,Tekst gdy na stanie,Pokaz cene
OUTLET DAMSKI,Kozaki czarno-bordowe,450,250.0,   D02615-7633-004,"https://baldowski.b-cdn.net/8085-new_cart_photo/kozaki-czarno-bordowe.jpg,https://baldowski.b-cdn.net/7903-new_cart_photo/kozaki-czarno-bordowe.jpg",41,"Kozaki na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej zamszowej., czarno-bordowy,1,1,700.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki czarno-bordowe,Dostępne,1
OUTLET DAMSKI,Kozaki czarne,400,200.0,   D02373-0664-S01,"https://baldowski.b-cdn.net/5438-new_cart_photo/kozaki-czarne.jpg,https://baldowski.b-cdn.net/5437-new_cart_photo/kozaki-czarne.jpg","36,37",Czarne kozaki na 6-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny,1,1,600.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki czarne,Dostępne,1
OUTLET DAMSKI,Kozaki czarne,350,250.0,   D02334-3262-S02/ 004,"https://baldowski.b-cdn.net/5507-new_cart_photo/kozaki-czarne.jpg,https://baldowski.b-cdn.net/5508-new_cart_photo/kozaki-czarne.jpg",40,Czarne kozaki na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny,1,1,600.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki czarne,Dostępne,1
OUTLET DAMSKI,Kozaki beżowe,400,150.0,   W00188-1453-006,"https://baldowski.b-cdn.net/8105-new_cart_photo/kozaki-bezowe.jpg,https://baldowski.b-cdn.net/8107-new_cart_photo/kozaki-bezowe.jpg",41,"Beżowe kozaki na 6,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej.,beż,1,1,550.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki beżowe,Dostępne,1
OUTLET DAMSKI,Botki białe,360,200.0,   D02375,"https://baldowski.b-cdn.net/7893-new_cart_photo/-botki-białe.jpg,https://baldowski.b-cdn.net/7894-new_cart_photo/-botki-białe.jpg","35,36,37,38,39",Białe buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały,1,1,560.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki białe,Dostępne,1
OUTLET DAMSKI,Botki czarne,330,200.0,   D01721-1594-005,"https://baldowski.b-cdn.net/5519-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/5520-new_cart_photo/botki-czarne.jpg",37,"Czarne botki na 6,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny,1,1,530.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki czarne,Dostępne,1
OUTLET DAMSKI,Botki w kolorze rudym,430,150.0,   D02343-4400-020,"https://baldowski.b-cdn.net/7449-new_cart_photo/botki-w-kolorze-rudym.jpg,https://baldowski.b-cdn.net/7451-new_cart_photo/botki-w-kolorze-rudym.jpg","38,39",Botki w kolorze rudym na 7-centymetrowym obcasie.," wykonane ze skóry naturalnej, zamszowej z dodatkiem gumy.", rudy,1,1,580.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki w kolorze rudym,Dostępne,1
BOUTIQUE ŚLUBNY ,Sandały złote,430,,   D02563-3436-010,"https://baldowski.b-cdn.net/9667-new_cart_photo/sandaly-zlote.jpg,https://baldowski.b-cdn.net/9669-new_cart_photo/sandaly-zlote.jpg",37,Złote buty na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., złoty,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Sandały złote,Dostępne,1
WSZYSTKIE BUTY,Botki multicolor,380,300.0,   D02302-3262-S08,"https://baldowski.b-cdn.net/7210-new_cart_photo/botki-multicolor.jpg,https://baldowski.b-cdn.net/7212-new_cart_photo/botki-multicolor.jpg","36,37,40",Botki na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor,1,1,680.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki multicolor,Dostępne,1
BIUROWE,Szpilki rude,490,,   D01545-3359-012,"https://baldowski.b-cdn.net/10238-new_cart_photo/szpilki-rude.jpg,https://baldowski.b-cdn.net/10240-new_cart_photo/szpilki-rude.jpg","36,37,40,41",Szpilki rude na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., rudy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki rude,Dostępne,1
BIUROWE,Czółenka zielone,490,,   D00580-1459-059,"https://baldowski.b-cdn.net/10230-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/10232-new_cart_photo/czolenka-zielone.jpg","39,40,41",Czółenka zielone na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., zielony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka zielone,Dostępne,1
BIUROWE,Czółenka brązowe,490,,   D00580-1459-057,"https://baldowski.b-cdn.net/10222-new_cart_photo/czolenka-brazowe.jpg,https://baldowski.b-cdn.net/10224-new_cart_photo/czolenka-brazowe.jpg","38,39,40,41",Czółenka w kolorze brązowym  na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., brązowy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka brązowe,Dostępne,1
SZPILKI,Szpilki zielone,490,,   D1545-3359-013,"https://baldowski.b-cdn.net/10246-new_cart_photo/szpilki-zielone.jpg,https://baldowski.b-cdn.net/10248-new_cart_photo/szpilki-zielone.jpg","36,39,41",Czółenka zielone na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., zielony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki zielone,Dostępne,1
SZPILKI,Szpilki zielone,520,,   D02816-2835-010,"https://baldowski.b-cdn.net/10336-new_cart_photo/szpilki-zielone.jpg,https://baldowski.b-cdn.net/10338-new_cart_photo/szpilki-zielone.jpg","36,39,40,41",Szpilki zielone na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., zielony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki zielone,Dostępne,1
SZPILKI,Szpilki jasny brąz,520,,   D02816-2835-011,"https://baldowski.b-cdn.net/10254-new_cart_photo/szpilki-jasny-braz.jpg,https://baldowski.b-cdn.net/10256-new_cart_photo/szpilki-jasny-braz.jpg","36,37,38,39,40,41",Szpilki w kolorze jasnego brązu na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., jasny brąz,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki jasny brąz,Dostępne,1
SZPILKI,Szpilki czarne z metalowym noskiem,510,,   D03516-3359-001,"https://baldowski.b-cdn.net/10597-new_cart_photo/szpilki-czarne-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10599-new_cart_photo/szpilki-czarne-z-metalowym-noskiem.jpg","36,37,39",Szpilki czarne na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czarne z metalowym noskiem,Dostępne,1
SZPILKI,Szpilki rude z metalowym noskiem,510,,   D03516-3359-002,"https://baldowski.b-cdn.net/10312-new_cart_photo/szpilki-rude-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10314-new_cart_photo/szpilki-rude-z-metalowym-noskiem.jpg","36,38,39,40,41",Szpilki rude na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., rudy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki rude z metalowym noskiem,Dostępne,1
SZPILKI,Szpilki bordowe z metalowym noskiem,510,,   D03516-3359-008/Z2,"https://baldowski.b-cdn.net/10929-new_cart_photo/szpilki-bordowe-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10930-new_cart_photo/szpilki-bordowe-z-metalowym-noskiem.jpg","35,36,37,38,39,40,41",Szpilki bordowe na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., bordowy,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki bordowe z metalowym noskiem,Dostępne,1
SZPILKI,Szpilki zielone z metalowym noskiem,510,,   D03516-3359-007/Z2,"https://baldowski.b-cdn.net/10920-new_cart_photo/szpilki-zielone-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10922-new_cart_photo/szpilki-zielone-z-metalowym-noskiem.jpg","35,36,37,38,39,40,41",Szpilki zielone na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., zielony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki zielone z metalowym noskiem,Dostępne,1
SZPILKI,Szpilki czarne,590,,   D03147-3436-001,"https://baldowski.b-cdn.net/9763-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/9765-new_cart_photo/szpilki-czarne.jpg",35,Szpilki czarne na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarne,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czarne,Dostępne,1
SZPILKI,Szpilki w kolorze camel,520,,   D01468-1451-011,"https://baldowski.b-cdn.net/9813-new_cart_photo/szpilki-w-kolorze-camel.jpg,https://baldowski.b-cdn.net/9815-new_cart_photo/szpilki-w-kolorze-camel.jpg","36,37,38,39,40,41",Szpilki w kolorze camel na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., camel,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki w kolorze camel,Dostępne,1
SZPILKI,Szpilki w multikolorze,340,150.0,   D00580-1451-200,"https://baldowski.b-cdn.net/5469-new_cart_photo/szpilki-w-multikolorze.jpg,https://baldowski.b-cdn.net/5471-new_cart_photo/szpilki-w-multikolorze.jpg",36,Szpilki w multikolorze na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., multikolor,1,1,490.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki w multikolorze,Dostępne,1
SZPILKI,Szpilki czarne z ozdobnym spodem,610,,   D00580-1451-S03,"https://baldowski.b-cdn.net/10408-new_cart_photo/szpilki-czarne-z-ozdobnym-spodem.jpg,https://baldowski.b-cdn.net/10410-new_cart_photo/szpilki-czarne-z-ozdobnym-spodem.jpg","35,36,37,38,39,40,41",Czarne buty na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czarne z ozdobnym spodem,Dostępne,1
WSZYSTKIE BUTY,Botki czarne,280,200.0,   D02601,"https://baldowski.b-cdn.net/8161-new_cart_photo/botki-czarne-.jpg,https://baldowski.b-cdn.net/8163-new_cart_photo/botki-czarne-.jpg","36,37,38",Czarne botki e na 3-centymetrowym obcasie. ,"Wykonane ze skóry naturalnej, lycry.", czarny,1,1,480.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki czarne,Dostępne,1
WSZYSTKIE BUTY,Botki grafitowe,420,100.0,   D02345-4330-006,"https://baldowski.b-cdn.net/8136-new_cart_photo/botki-grafitowe.jpg,https://baldowski.b-cdn.net/8138-new_cart_photo/botki-grafitowe.jpg",41,"Grafitowe botki na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., grafitowy,1,1,520.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki grafitowe,Dostępne,1
WSZYSTKIE BUTY,Szpilki czarne,420,,   D02287,"https://baldowski.b-cdn.net/8127-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/8129-new_cart_photo/szpilki-czarne.jpg","36,38","Czółenka czarne na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czarne,Dostępne,1
SZPILKI,Szpilki niebieskie,350,100.0,   D03184-3359-003,"https://baldowski.b-cdn.net/9779-new_cart_photo/szpilki-niebieskie.jpg,https://baldowski.b-cdn.net/9781-new_cart_photo/szpilki-niebieskie.jpg",36,Szpilki na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej.,niebieski,1,1,450.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki niebieskie,Dostępne,1
SZPILKI,Szpilki różowe,350,100.0,   D03184-3359-001,"https://baldowski.b-cdn.net/9141-new_cart_photo/szpilki-rozowe.jpg,https://baldowski.b-cdn.net/9143-new_cart_photo/szpilki-rozowe.jpg","36,37,39",Szpilki różowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., różowy,1,1,450.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki różowe,Dostępne,1
SZPILKI,Szpilki żółte,420,,   D02443 zamsz żółty,"https://baldowski.b-cdn.net/9157-new_cart_photo/szpilki-zolte.jpg,https://baldowski.b-cdn.net/9159-new_cart_photo/szpilki-zolte.jpg",39,Szpilki  na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., żółty,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki żółte,Dostępne,1
SZPILKI,Szpilki czerwone,420,,   D02443,"https://baldowski.b-cdn.net/8153-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/8154-new_cart_photo/szpilki-czerwone.jpg","36,37,38,40",Szpilki czerwone na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czerwony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czerwone,Dostępne,1
WSZYSTKIE BUTY,Botki w kolorze rudym,420,50.0,   D02690-1451-001,"https://baldowski.b-cdn.net/8029-new_cart_photo/botki-w-kolorze-rudym.jpg,https://baldowski.b-cdn.net/8031-new_cart_photo/botki-w-kolorze-rudym.jpg","37,40",Botki zielone na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej.,zapinane na zamek.,1,1,470.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Botki w kolorze rudym,Dostępne,1
WSZYSTKIE BUTY,Kozaki szare,550,200.0,   D02353-7633-001,"https://baldowski.b-cdn.net/8013-new_cart_photo/kozaki-szare.jpg,https://baldowski.b-cdn.net/8015-new_cart_photo/kozaki-szare.jpg",39,Kozaki szare,Na 7-centymetrowym obcasie., wykonane ze skóry naturalnej.,1,1,750.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Kozaki szare,Dostępne,1
WSZYSTKIE BUTY,Czółenka niebieskie,550,100.0,   D02727-3262-005,"https://baldowski.b-cdn.net/7714-new_cart_photo/czółenka-niebieskie.jpg,https://baldowski.b-cdn.net/7715-new_cart_photo/czółenka-niebieskie.jpg",41,Czółenka niebieskie na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., niebieski,1,1,650.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Czółenka niebieskie,Dostępne,1
CZÓŁENKA,Szpilki czerwone,420,,   D03040-1451-004,"https://baldowski.b-cdn.net/9707-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/9709-new_cart_photo/szpilki-czerwone.jpg","36,37,38,39,40",Czerwone buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czerwony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czerwone,Dostępne,1
CZÓŁENKA,Szpilki czerwone,420,,   D03053-1451-006,"https://baldowski.b-cdn.net/9739-new_cart_photo/szpilki-czerwone.jpg,https://baldowski.b-cdn.net/9741-new_cart_photo/szpilki-czerwone.jpg","35,36,37,39,40",Czerwone buty na 10-centymetrowym obcasie., wykonane ze skóry naturalnej., czerwony,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki czerwone,Dostępne,1
CZÓŁENKA,Szpilki multicolor,480,,   D03053-1451-003,"https://baldowski.b-cdn.net/8473-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/8474-new_cart_photo/szpilki-multicolor.jpg","36,39,40,41",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor,1,1,,0,,,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki multicolor,Dostępne,1
CZÓŁENKA,Szpilki multicolor,380,100.0,   D00580-1451-249,"https://baldowski.b-cdn.net/8427-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/8428-new_cart_photo/szpilki-multicolor.jpg","37,38,40,41",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor,1,1,480.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki multicolor,Dostępne,1
CZÓŁENKA,Szpilki multicolor,460,100.0,   D00580-1451-272,"https://baldowski.b-cdn.net/10031-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/10033-new_cart_photo/szpilki-multicolor.jpg","37,38,39",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor,1,1,560.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki multicolor,Dostępne,1
CZÓŁENKA,Szpilki multicolor,380,100.0,   D00580-1451-248,"https://baldowski.b-cdn.net/8419-new_cart_photo/szpilki-multicolor.jpg,https://baldowski.b-cdn.net/8420-new_cart_photo/szpilki-multicolor.jpg","36,37,38,39,40,41",Szpilki multicolor 10-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor,1,1,480.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Szpilki multicolor,Dostępne,1
WSZYSTKIE BUTY,Klapki brązowe,340,100.0,   D03074-4744-005,"https://baldowski.b-cdn.net/9017-new_cart_photo/klapki-brazowe.jpg,https://baldowski.b-cdn.net/9019-new_cart_photo/klapki-brazowe.jpg","37,38",Klapki brązowe na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., brązowy,1,1,440.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Klapki brązowe,Dostępne,1
WSZYSTKIE BUTY,Klapki czarne,270,150.0,   D03007 skóra czarna klapek,"https://baldowski.b-cdn.net/9174-new_cart_photo/klapki-czarne.jpg,https://baldowski.b-cdn.net/9176-new_cart_photo/klapki-czarne.jpg","36,37,38,39",Klapki czarne na 5-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny,1,1,420.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Klapki czarne,Dostępne,1
WSZYSTKIE BUTY,Sandały czarne,320,100.0,   D03032-3436-003,"https://baldowski.b-cdn.net/9008-new_cart_photo/sandały-czarne.jpg,https://baldowski.b-cdn.net/9010-new_cart_photo/sandały-czarne.jpg","36,37,38,39,40",Sandały czarne na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny monogram,1,1,420.00,1,2020-11-01,2021-06-01,Bałdowski,50,1,4,1,2020-09-01,Glówny magazyn,1,1,Sandały czarne,Dostępne,1
