Nazwa,Cena,Nr referencyjny,Adres zdjecia,Rozmiary,Cena przed obnizka,Cena po obnizce,Opis,Material wykonania,Kolor
Black ballerinas,500,   W00462-KLIN-012/p2,https://baldowski.b-cdn.net/10635-new_cart_photo/black-ballerinas.jpg,"35,36,37,38,39,40,41",,,Black ballerinas on a 4-centimeter heel. ,Made of natural leather., black
Pumps navy blue,530,   W00203-3262-002/p2,https://baldowski.b-cdn.net/10623-new_cart_photo/pumps-navy-blue-.jpg,"35,36,37,38,39,40,41",,,Pumps navy blue on a 10-centimeter heel. ,Made of natural leather., navy blue
Black sandals on a high heel,560,   DO1511-3436-026/p2,https://baldowski.b-cdn.net/10606-new_cart_photo/black-sandals-on-a-high-heel.jpg,"35,36,37,38,39,40,41",,,Sandals black colour on a 9-centimeter heel. ,"Made of natural leather, suede.", black
Black pumps,530,   W00203-3262-001/p2,https://baldowski.b-cdn.net/10614-new_cart_photo/black-pumps.jpg,"35,36,37,38,39,40,41",,,Black pumps on a 10-centimeter heel.,Made of natural leather., black
Black ankle boots,640,   D03328-3359-005,https://baldowski.b-cdn.net/10582-new_cart_photo/black-ankle-boots.jpg,"36,37,39,41",,,Black ankle boots on 7-centimeter heel. ,Made of natural leather., black
Black ankle boots,640,   D03303-3359-003,https://baldowski.b-cdn.net/10573-new_cart_photo/black-ankle-boots.jpg,"36,38,39,41",,,Black ankle boots on 7-centimeter heel. ,Made of natural leather., black
Black flat shoes,570,   D03283-8321-003/P,https://baldowski.b-cdn.net/10555-new_cart_photo/black-flat-shoes.jpg,"35,36,37,38,39,40,41",,,Black flat shoes on 2-centimeter heel. ,Made of natural leather., black
Red loafers,570,   D03283-8321-004/P,https://baldowski.b-cdn.net/10566-new_cart_photo/flat-shoes-in-nude-colour.jpg,"35,36,37,38,39,40,41",,,Red loafers on 2-centimeter heel. ,Made of natural leather.,colour: red
Pumps navy blue,530,   D03270-4330-009/P,https://baldowski.b-cdn.net/10534-new_cart_photo/pumps-navy-blue.jpg,"35,36,37,38,39,40,41",,,"Pumps navy blue on a 7,5-centimeter heel. ",Made of natural leather., navy blue
Pumps green,530,   D03270-4330-007/P,https://baldowski.b-cdn.net/10524-new_cart_photo/pumps-green.jpg,"35,36,37,38,39,40,41",,,"Pumps green on a 7,5-centimeter heel. ",Made of natural leather., green
Black pumps,530,   D03270-4330-001/P2/D03270-4330-005,https://baldowski.b-cdn.net/10515-new_cart_photo/black-pumps.jpg,"35,36,37,38,39,40,41",,,Black pumps on a 7-centimeter heel.,Made of natural leather. , black
Black and green flat shoes,530,   D03262-8321-002,https://baldowski.b-cdn.net/10508-new_cart_photo/black-and-green-flat-shoes.jpg,"36,41",,,Black and green flat shoes on 2-centimeter heel. ,Made of natural leather., black and green
Pink heels,450,   D03184-3359-004,https://baldowski.b-cdn.net/10496-new_cart_photo/pink-heels.jpg,"36,37,38,39,40",,,Pink heels on a 7-centimeter heel. ,Made of natural leather., pink
Black heels,490,   D03102-E160-012/p2,https://baldowski.b-cdn.net/10487-new_cart_photo/black-heels.jpg,"35,36,37,38,39,40,41",,,Black heels on a 11-centimeter heel. ,Made of natural leather., black
Green heels,510,   D3524-1451-001,https://baldowski.b-cdn.net/10320-new_cart_photo/green-heels.jpg,"36,37,38,39,40,41,35 ON REQUEST",,,Green heels on a 10-centimeter heel.,Made of natural leather., green
Heels brown,520,   D03291-1451-004,https://baldowski.b-cdn.net/10303-new_cart_photo/heels-brown.jpg,"36,37,38,39,35 ON REQUEST,40 ON REQUEST,41 ON REQUEST",,,Brown coloured heels on a 10-centimeter heel. ,Made of natural leather., brown
Burgundy heels,520,   D03291-1451-001,https://baldowski.b-cdn.net/10294-new_cart_photo/burgundy-heels.jpg,"36,41",,,Black heels on a 10-centimeter heel. ,Made of natural leather., burgundy
Brown pumps,530,   D03270-4330-003/P2/D03270-4330-006,https://baldowski.b-cdn.net/10985-new_cart_photo/brown-pumps.jpg,"35,36,37,38,39,40,41",,,"Brown pumps on a 7,5-centimeter heel. ",Made of natural leather., brown
Multicoloured pumps,500,   D03206-4330-002,https://baldowski.b-cdn.net/10278-new_cart_photo/multicoloured-pumps.jpg,"36,37,38,35 ON REQUEST,39 ON REQUEST,40 ON REQUEST,41 ON REQUEST",,,"Multicoloured pumps on a 7,5-centimeter heel. ",Made of natural leather., multi-color
