kategoria,Nazwa,Cena,Cena przed obnizka,Nr referencyjny,Adres zdjecia,Rozmiary,Opis,Material wykonania,Kolor
BY MACIEJ ZIEŃ,Sandały złote,790,,   Z00051-1281-S01,"https://baldowski.b-cdn.net/3969-new_cart_photo/sandaly-zlote.jpg,https://baldowski.b-cdn.net/3970-new_cart_photo/sandaly-zlote.jpg",40,Sandały złote by maciej zień.,Wykonane ze skóry naturalnej., złoty
BY MACIEJ ZIEŃ,Sandały srebrne,650,,   Z00053-1281-S02,"https://baldowski.b-cdn.net/3993-new_cart_photo/sandaly-srebrne.jpg,https://baldowski.b-cdn.net/3994-new_cart_photo/sandaly-srebrne.jpg",37,Sandały srebrne by maciej zień., wykonane ze skóry naturalnej., srebrny
BY MACIEJ ZIEŃ,Sandały złote,650,,   Z00053-1281-S01,"https://baldowski.b-cdn.net/3989-new_cart_photo/sandaly-zlote.jpg,https://baldowski.b-cdn.net/3990-new_cart_photo/sandaly-zlote.jpg","36,37,39,40,41",Sandały złote by maciej zień.,Wykonane ze skóry naturalnej., złoty
PŁASKIE,Sandały beżowe,390,"490,00 ",   D03131-3211-002,"https://baldowski.b-cdn.net/10016-new_cart_photo/sandały-beżowe.jpg,https://baldowski.b-cdn.net/10015-new_cart_photo/sandały-beżowe.jpg","36,38,39",Sandały beżowe na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beżowy
PŁASKIE,Sandały złote,590,,   D01988-0621-038,"https://baldowski.b-cdn.net/8591-new_cart_photo/sandały-złote.jpg,https://baldowski.b-cdn.net/8590-new_cart_photo/sandały-złote.jpg",36,Sandały złote.wykonane ze skóry naturalnej.,,
PŁASKIE,Sandały żółte,490,"590,00 ",   D01988 CINIGLIA LIMONE,"https://baldowski.b-cdn.net/6964-new_cart_photo/sandaly-zolte.jpg,https://baldowski.b-cdn.net/6963-new_cart_photo/sandaly-zolte.jpg",36,Sandały  na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., żółty
PŁASKIE,Sandały białe,590,,   D01988-0621-S16,"https://baldowski.b-cdn.net/9953-new_cart_photo/sandały-białe.jpg,https://baldowski.b-cdn.net/9952-new_cart_photo/sandały-białe.jpg","37,38",Sandały białe na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., biały
PŁASKIE,Sandały niebieskie,590,,   D01988-0621-041,"https://baldowski.b-cdn.net/9943-new_cart_photo/sandaly-niebieskie.jpg,https://baldowski.b-cdn.net/9942-new_cart_photo/sandaly-niebieskie.jpg","36,37,38",Sandały niebieskie na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., niebieski
PŁASKIE,Sandały czarne,560,,   D01988-0621-012,"https://baldowski.b-cdn.net/8572-new_cart_photo/sandały-czarne.jpg,https://baldowski.b-cdn.net/8571-new_cart_photo/sandały-czarne.jpg","36,38",Sandały czarne na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej zamszowej., czarny
PŁASKIE,Sandały w kolorze camel,560,,   D01988-0621-042,"https://baldowski.b-cdn.net/9825-new_cart_photo/sandały-w-kolorze-camel.jpg,https://baldowski.b-cdn.net/9824-new_cart_photo/sandały-w-kolorze-camel.jpg","36,37,38,41",Sandały w kolorze camel na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej zamszowej., camel
PŁASKIE,Sandały szare,560,,   D01988-0621-037,"https://baldowski.b-cdn.net/8582-new_cart_photo/sandały-szare.jpg,https://baldowski.b-cdn.net/8581-new_cart_photo/sandały-szare.jpg","36,37,41",Sandały szare na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej zamszowej., szary
PŁASKIE,Sandały czerwone,560,,   D01988-0621- 017,"https://baldowski.b-cdn.net/6473-new_cart_photo/sandaly-czerwone.jpg,https://baldowski.b-cdn.net/6240-new_cart_photo/sandaly-czerwone.jpg","36,37,38",Sandały czerwone na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej zamszowej., czerwony
PŁASKIE,Sandały camel jasny,560,,   D01988-0621-015,"https://baldowski.b-cdn.net/6228-new_cart_photo/sandaly-camel-jasny.jpg,https://baldowski.b-cdn.net/6230-new_cart_photo/sandaly-camel-jasny.jpg","36,37,38",Sandały w kolorze jasnego camelu na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej zamszowej., jasny camel
PŁASKIE,Buty płaskie czarne,390,,   D00488/D czarny wąż+zamsz,"https://baldowski.b-cdn.net/9450-new_cart_photo/buty-plaskie-czarne.jpg,https://baldowski.b-cdn.net/9449-new_cart_photo/buty-plaskie-czarne.jpg",,Buty czarne na 4-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Buty płaskie czarne,520,,   D00045-KLIN-004,"https://baldowski.b-cdn.net/8898-new_cart_photo/buty-plaskie-czarne.jpg,https://baldowski.b-cdn.net/8897-new_cart_photo/buty-plaskie-czarne.jpg","36,37,38,40",Buty czarne na 4-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Buty płaskie czarne,520,,   D00045-KLIN-001,"https://baldowski.b-cdn.net/9807-new_cart_photo/buty-płaskie-czarne.jpg,https://baldowski.b-cdn.net/9806-new_cart_photo/buty-płaskie-czarne.jpg","36,37,39,40,41",Baleriny czarne na 4-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Buty płaskie beżowe,520,,   D00045-KLIN-011,"https://baldowski.b-cdn.net/10108-new_cart_photo/buty-plaskie-bezowe.jpg,https://baldowski.b-cdn.net/10107-new_cart_photo/buty-plaskie-bezowe.jpg","36,38,39",Beżowe buty na 4-centymetrowym klinie.,Wykonane ze skóry naturalnej., beż
PŁASKIE,Baleriny czarne,500,,   W00462-KLIN-012/p2,"https://baldowski.b-cdn.net/10635-new_cart_photo/baleriny-czarne.jpg,https://baldowski.b-cdn.net/10634-new_cart_photo/baleriny-czarne.jpg","35,36,37,38,39,40,41",Baleriny czarne na 4-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Buty płaskie beżowe,520,,   D00045-KLIN-010/P2/D0045-KLIN-013,"https://baldowski.b-cdn.net/8518-new_cart_photo/buty-płaskie-beżowe.jpg,https://baldowski.b-cdn.net/8517-new_cart_photo/buty-płaskie-beżowe.jpg","35,36,37,38,39,40,41",Beżowe buty na 4-centymetrowym klinie.,Wykonane ze skóry naturalnej., beż
PŁASKIE,Sneakersy białe,500,,   D02231-0046-021,"https://baldowski.b-cdn.net/9963-new_cart_photo/sneakersy-białe.jpg,https://baldowski.b-cdn.net/9962-new_cart_photo/sneakersy-białe.jpg",37,Sneakersy białe na 3-centymetrowym spodzie. ,Wykonane ze skóry naturalnej., biały
PŁASKIE,Buty płaskie multicolor,500,,   D02420-0046-013,"https://baldowski.b-cdn.net/8727-new_cart_photo/buty-płaskie-multicolor.jpg,https://baldowski.b-cdn.net/8726-new_cart_photo/buty-płaskie-multicolor.jpg","37,38,39",Buty płaskie nmulticolor na 3-centymetrowym spodzie. ,Wykonane ze skóry naturalnej., multicolor
PŁASKIE,Buty płaskie nude,650,,   D02424-0046-005,"https://baldowski.b-cdn.net/10188-new_cart_photo/buty-plaskie-nude.jpg,https://baldowski.b-cdn.net/10187-new_cart_photo/buty-plaskie-nude.jpg","36,41",Buty płaskie nude na 3-centymetrowym spodzie. ,Wykonane ze skóry naturalnej., nude
PŁASKIE,Buty płaskie grafitowe,450,"560,00 ",   D02610-D069-007,"https://baldowski.b-cdn.net/8347-new_cart_photo/buty-płaskie-grafitowe.jpg,https://baldowski.b-cdn.net/8346-new_cart_photo/buty-płaskie-grafitowe.jpg",40,"Szare buty na 2,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., szary
PŁASKIE,Buty płaskie szare,450,"560,00 ",   D02610-D069-004,"https://baldowski.b-cdn.net/7919-new_cart_photo/buty-płaskie-szare-.jpg,https://baldowski.b-cdn.net/7920-new_cart_photo/buty-płaskie-szare-.jpg","36,37,38,40","Szare buty na 2,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., szary
PŁASKIE,Buty płaskie grafitowe,560,,   D02717-8321-008,"https://baldowski.b-cdn.net/7686-new_cart_photo/buty-plaskie-grafitowe.jpg,https://baldowski.b-cdn.net/7685-new_cart_photo/buty-plaskie-grafitowe.jpg","35,37",Mokasyny grafitowe na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., grafit
PŁASKIE,Buty płaskie brązowe,490,,   D02717-8321-002,"https://baldowski.b-cdn.net/7476-new_cart_photo/buty-płaskie-brązowe.jpg,https://baldowski.b-cdn.net/7477-new_cart_photo/buty-płaskie-brązowe.jpg","38,39,40,41",Mokasyny na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., brązowy
PŁASKIE,Buty płaskie brązowe,490,,   D02717-8321-007,"https://baldowski.b-cdn.net/7487-new_cart_photo/buty-płaskie-brązowe.jpg,https://baldowski.b-cdn.net/7486-new_cart_photo/buty-płaskie-brązowe.jpg","36,37,38,39",Mokasyny na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., brązowy
PŁASKIE,Buty płaskie w kolorze nude,490,,   W00507-8321-019/W00400-8321-025,"https://baldowski.b-cdn.net/6486-new_cart_photo/buty-plaskie-w-kolorze-nude.jpg,https://baldowski.b-cdn.net/6040-new_cart_photo/buty-plaskie-w-kolorze-nude.jpg","38,39,41",Mokasyny w kolorze nude na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., nude
PŁASKIE,Buty płaskie camel,490,,   D02644-8321-016,"https://baldowski.b-cdn.net/8871-new_cart_photo/buty-płaskie-camel.jpg,https://baldowski.b-cdn.net/8873-new_cart_photo/buty-płaskie-camel.jpg","37,40",Mokasyny camel na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej i zamszowej, camel
PŁASKIE,Buty płaskie beżowe,480,,   D02644-8321-012,"https://baldowski.b-cdn.net/7998-new_cart_photo/buty-płaskie-beżowe.jpg,https://baldowski.b-cdn.net/7999-new_cart_photo/buty-płaskie-beżowe.jpg","35,36,39,40",Buty płaskie beżowe na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., beż
PŁASKIE,Buty płaskie czarne,480,,   D02644-8321-007,"https://baldowski.b-cdn.net/7641-new_cart_photo/buty-plaskie-czarne.jpg,https://baldowski.b-cdn.net/7642-new_cart_photo/buty-plaskie-czarne.jpg","38,41",Czarne buty na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Buty płaskie czarne,480,,   D02644-8321-008,"https://baldowski.b-cdn.net/7652-new_cart_photo/buty-plaskie-czarne.jpg,https://baldowski.b-cdn.net/7651-new_cart_photo/buty-plaskie-czarne.jpg","36,39,40",Czarne buty na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Buty płaskie czarne,540,,   D02644-8321-017,"https://baldowski.b-cdn.net/9989-new_cart_photo/buty-plaskie-czarne.jpg,https://baldowski.b-cdn.net/9988-new_cart_photo/buty-plaskie-czarne.jpg","38,39,40,41",Czarne buty na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Mokasyny czarne,540,,   W00400-8321-038,"https://baldowski.b-cdn.net/10148-new_cart_photo/mokasyny-czarne.jpg,https://baldowski.b-cdn.net/10147-new_cart_photo/mokasyny-czarne.jpg","37,38,39,40,41",Czarne buty na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Buty płaskie czarne,540,,   W00507-8321-025/P2/W00400-8321-005,"https://baldowski.b-cdn.net/3116-new_cart_photo/buty-plaskie-czarne.jpg,https://baldowski.b-cdn.net/3118-new_cart_photo/buty-plaskie-czarne.jpg","35,36,37,38,39,40,41",Czarne buty na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Mokasyny granatowe,540,,   W00507-8321-026/P,"https://baldowski.b-cdn.net/10645-new_cart_photo/mokasyny-granatowe.jpg,https://baldowski.b-cdn.net/10644-new_cart_photo/mokasyny-granatowe.jpg","35,36,37,38,39,40,41","Granatowe buty na 2,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., granatowy
PŁASKIE,Mokasyny czarne,540,,   W00400-8321-043,"https://baldowski.b-cdn.net/10162-new_cart_photo/mokasyny-czarne-aw.jpg,https://baldowski.b-cdn.net/10161-new_cart_photo/mokasyny-czarne-aw.jpg","37,38,39,40",Czarne buty na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Buty płaskie czarne,520,,   W00481-8321-001,"https://baldowski.b-cdn.net/5566-new_cart_photo/buty-plaskie-czarne.jpg,https://baldowski.b-cdn.net/5568-new_cart_photo/buty-plaskie-czarne.jpg","37,39",Czarne buty na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Buty płaskie w multikolorze,450,,   W00481-8321-003,"https://baldowski.b-cdn.net/8766-new_cart_photo/buty-płaskie-w-multikolorze.jpg,https://baldowski.b-cdn.net/8768-new_cart_photo/buty-płaskie-w-multikolorze.jpg","36,39,40",Buty płaskie w multokolorze na 2-centymetrowym obcasie., wykonane ze skóry naturalnej., multicolor
PŁASKIE,Buty płaskie czarne,530,,   D02820-8321-001,"https://baldowski.b-cdn.net/9599-new_cart_photo/buty-plaskie-czarne.jpg,https://baldowski.b-cdn.net/9598-new_cart_photo/buty-plaskie-czarne.jpg","36,37,38",Czarne buty na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Mokasyny rude,570,,   D03283-8321-004/P,"https://baldowski.b-cdn.net/10566-new_cart_photo/red-loafers.jpg,https://baldowski.b-cdn.net/10565-new_cart_photo/red-loafers.jpg","35,36,37,38,39,40,41",Mokasyny rude na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., rudy
PŁASKIE,Mokasyny czarne,570,,   D03283-8321-003/P,"https://baldowski.b-cdn.net/10555-new_cart_photo/mokasyny-czarne.jpg,https://baldowski.b-cdn.net/10554-new_cart_photo/mokasyny-czarne.jpg","35,36,37,38,39,40,41",Mokasyny czarne na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Mokasyny czarno-zielone,530,,   D03262-8321-002,"https://baldowski.b-cdn.net/10508-new_cart_photo/mokasyny-czarno-zielone.jpg,https://baldowski.b-cdn.net/10507-new_cart_photo/mokasyny-czarno-zielone.jpg","36,37",Mokasyny czarno-zielone na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej.," czarno-zielony, biały"
BOTKI,Botki czarne,700,,   D02345-4330-037,"https://baldowski.b-cdn.net/10743-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10745-new_cart_photo/botki-czarne.jpg","35,36,37,38,39,40,41","Czarne botki na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BOTKI,Botki  camel,600,"700,00 ",   D02345-4330-027/P2/D02345-4330-038,"https://baldowski.b-cdn.net/6043-new_cart_photo/botki-camel.jpg,https://baldowski.b-cdn.net/6042-new_cart_photo/botki-camel.jpg","35,36,37,38,39,40,41","Botki w kolorze rudym na 7,5-centymetrowym obcasie ręcznie malowanym.",Wykonane ze skóry naturalnej zamszowej., camel
BOTKI,Botki grafitowe,470,"570,00 ",   D02315-4330-006,"https://baldowski.b-cdn.net/5871-new_cart_photo/botki-grafitowe.jpg,https://baldowski.b-cdn.net/5428-new_cart_photo/botki-grafitowe.jpg","36,37,40,41","Botki grafitowe na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., grafitowy
BOTKI,Botki czarne,470,"570,00 ",   D02315-4330-005,"https://baldowski.b-cdn.net/5523-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/5524-new_cart_photo/botki-czarne.jpg","35,36,39,41","Czarne botki na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,600,,   D02680-4330-001,"https://baldowski.b-cdn.net/7964-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/7966-new_cart_photo/botki-czarne.jpg","37,38,39,40","Czarne botki na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,470,"620,00 ",   D02630-4619-005,"https://baldowski.b-cdn.net/7817-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/7819-new_cart_photo/botki-czarne.jpg",40,"Czarne botki na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,620,,   D02704-4619-001,"https://baldowski.b-cdn.net/8305-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/8306-new_cart_photo/botki-czarne.jpg","36,37,38","Czarne botki na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,630,,   D03218,"https://baldowski.b-cdn.net/10782-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10784-new_cart_photo/botki-czarne.jpg","35,36,37,40",Botki czarne na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,630,,   D03311-4619-001,"https://baldowski.b-cdn.net/10832-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10833-new_cart_photo/botki-czarne.jpg","35,36,39,40,41","Czarne botki na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,640,,   D02380-4330-001,"https://baldowski.b-cdn.net/10762-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10763-new_cart_photo/botki-czarne.jpg","36,37,38,40,41","Czarne botki na 7,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,600,,   D02161-1438-001/P,"https://baldowski.b-cdn.net/10716-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10718-new_cart_photo/botki-czarne.jpg","35,36,37,38,39,40,41","Czarne buty na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,630,,   D03446-1438-003,"https://baldowski.b-cdn.net/10683-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10684-new_cart_photo/botki-czarne.jpg","36,37,41",Botki czarne na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki cappuccino,630,,   D03446-1438-002,"https://baldowski.b-cdn.net/10369-new_cart_photo/botki-cappuccino.jpg,https://baldowski.b-cdn.net/10371-new_cart_photo/botki-cappuccino.jpg","36,37,38,39,40,41",Botki cappuccino na 7-centymetrowym obcasie.,Wykonane ze skóry naturalnej., cappuccino
BOTKI,Botki cappuccino,440,,   D03161-3436-004,"https://baldowski.b-cdn.net/8749-new_cart_photo/botki-cappuccino.jpg,https://baldowski.b-cdn.net/8750-new_cart_photo/botki-cappuccino.jpg",40,Botki cappuccino na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej., cappuccino
BOTKI,Botki rude,440,,   D03161-3436-005,"https://baldowski.b-cdn.net/9133-new_cart_photo/botki-rude.jpg,https://baldowski.b-cdn.net/9135-new_cart_photo/botki-rude.jpg","36,37,39",Botki  na 9-centymetrowym obcasie.,Wykonane ze skóry naturalnej., rudy
BOTKI,Botki grafitowe,640,,   D02747-1451-003,"https://baldowski.b-cdn.net/7784-new_cart_photo/botki-grafitowe.jpg,https://baldowski.b-cdn.net/7786-new_cart_photo/botki-grafitowe.jpg","35,38,39,40,41",Botki grafitowe na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej zamszowej., grafitowy
BOTKI,Botki w kolorze rudym,570,,   D02656-1451-004,"https://baldowski.b-cdn.net/8021-new_cart_photo/botki-w-kolorze-rudym.jpg,https://baldowski.b-cdn.net/8023-new_cart_photo/botki-w-kolorze-rudym.jpg","38,39,40",Buty w kolorze rudym na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej.,zapinane na zamek.
BOTKI,Botki czarne,700,,   D03300-3359-004/Z,"https://baldowski.b-cdn.net/10814-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10816-new_cart_photo/botki-czarne.jpg","35,36,38,39,40,41",Botki czarne na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki granatowe,700,,   D03300-3359-003/P2/D03300-3359-005,"https://baldowski.b-cdn.net/10652-new_cart_photo/botki-granatowe.jpg,https://baldowski.b-cdn.net/10654-new_cart_photo/botki-granatowe.jpg","35,36,37,38,39,41",Botki granatowe na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., granatowy
BOTKI,Botki czarne,700,,   D03332-3359-001,"https://baldowski.b-cdn.net/10860-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10862-new_cart_photo/botki-czarne.jpg","35,36,38,39,40",Botki czarne na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,640,,   D03328-3359-005,"https://baldowski.b-cdn.net/10582-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10583-new_cart_photo/botki-czarne.jpg","36,39,41",Botki czarne zapinane na zamek na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki zielone,640,,   D03328-3359-003,"https://baldowski.b-cdn.net/10847-new_cart_photo/botki-zielone.jpg,https://baldowski.b-cdn.net/10848-new_cart_photo/botki-zielone.jpg","36,37,39,40,41",Botki zielone zapinane na zamek na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., zielony
BOTKI,Botki zielone,640,,   D03303-3359-004,"https://baldowski.b-cdn.net/10824-new_cart_photo/botki-zielone.jpg,https://baldowski.b-cdn.net/10825-new_cart_photo/botki-zielone.jpg","36,38,40",Botki zielone zapinane na zamek na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., zielony
BOTKI,Botki czarne,640,,   D03303-3359-003,"https://baldowski.b-cdn.net/10573-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10575-new_cart_photo/botki-czarne.jpg","36,37,38,39,41",Botki czarne zapinane na zamek na 7-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki czarne,610,,   D03210-2835-004,"https://baldowski.b-cdn.net/10950-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10951-new_cart_photo/botki-czarne.jpg","38,40,41",Czarne botki na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki zielone,640,,   D03210-2835-005,"https://baldowski.b-cdn.net/10958-new_cart_photo/botki-zielone.jpg,https://baldowski.b-cdn.net/10960-new_cart_photo/botki-zielone.jpg","36,38,39,41",Botki zielone zapinane na zamek na 8-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., zielony
BOTKI,Botki czarne,540,,   D03254-2835-005,"https://baldowski.b-cdn.net/10345-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10347-new_cart_photo/botki-czarne.jpg","36,38,40,41",Botki czarne na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki rude,540,,   D03254-2835-006,"https://baldowski.b-cdn.net/10354-new_cart_photo/botki-rude.jpg,https://baldowski.b-cdn.net/10355-new_cart_photo/botki-rude.jpg","36,37,38,40,41",Botki rude na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., rudy
BOTKI,Botki czarne,540,,   D03254-2835-007,"https://baldowski.b-cdn.net/10969-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10970-new_cart_photo/botki-czarne.jpg","36,40",Czarne botki na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki beżowe,540,,   D03254-2835-003,"https://baldowski.b-cdn.net/10798-new_cart_photo/botki-beżowe.jpg,https://baldowski.b-cdn.net/10800-new_cart_photo/botki-beżowe.jpg","35,36,39,40,41",Botki beżowe na 8-centymetrowym obcasie.,Wykonane ze skóry naturalnej., beżowy
BOTKI,Botki czarne,580,,   W00524-DIAN-002,"https://baldowski.b-cdn.net/3770-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/3772-new_cart_photo/botki-czarne.jpg",,Czarne botki na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki beżowe,780,,   D03261-DIAN-002,"https://baldowski.b-cdn.net/10807-new_cart_photo/botki-bezowe.jpg,https://baldowski.b-cdn.net/10808-new_cart_photo/botki-bezowe.jpg","36,37,38","Botki beżowe na 2,5-centymetrowym obcasie.",Wykonane ze skóry naturalnej., beżowy
BOTKI,Botki czarne,670,,   D03350-4618-001 /Z,"https://baldowski.b-cdn.net/10869-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10870-new_cart_photo/botki-czarne.jpg","35,36,37,38",Czarne botki na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki brązowe,680,,   D03226-DIAN-003,"https://baldowski.b-cdn.net/10791-new_cart_photo/botki-brazowe.jpg,https://baldowski.b-cdn.net/10792-new_cart_photo/botki-brazowe.jpg","35,36,37,38,40,41",Botki brązowe na 2-centymetrowym obcasie.,Wykonane ze skóry naturalnej., brązowy
BOTKI,Botki czarne z metalowym noskiem,710,,   D03360-SKV1-001/Z,"https://baldowski.b-cdn.net/10896-new_cart_photo/botki-czarne-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10898-new_cart_photo/botki-czarne-z-metalowym-noskiem.jpg","36,38,39,40",Czarne botki na 5-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki bordowe z metalowym noskiem,710,,   D03360-SKV1-004/Z2,"https://baldowski.b-cdn.net/10912-new_cart_photo/botki-bordowe-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10914-new_cart_photo/botki-bordowe-z-metalowym-noskiem.jpg","35,36,37,38,39,40,41",Botki bordowe na 5-centymetrowym obcasie.,Wykonane ze skóry naturalnej., bordowy
BOTKI,Botki zielone z metalowym noskiem,710,,   D03360-SKV1-003/Z2,"https://baldowski.b-cdn.net/10905-new_cart_photo/botki-zielone-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10906-new_cart_photo/botki-zielone-z-metalowym-noskiem.jpg","35,36,37,38,39,40,41",Zielone botki na 5-centymetrowym obcasie.,Wykonane ze skóry naturalnej., zielony
BOTKI,Botki camel,550,,   D02662-SKV1-014,"https://baldowski.b-cdn.net/8457-new_cart_photo/botki-camel.jpg,https://baldowski.b-cdn.net/8459-new_cart_photo/botki-camel.jpg","39,40,41",Botki camel na 5-centymetrowym obcasie.,Wykonane ze skóry naturalnej., camel
BOTKI,Botki czarne,610,,   D02662-SKV1-003,"https://baldowski.b-cdn.net/8193-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/8195-new_cart_photo/botki-czarne.jpg","36,39,40,41",Czarne botki na 5-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki zielone,610,,   D02662-SKV1-022,"https://baldowski.b-cdn.net/10769-new_cart_photo/botki-zielone.jpg,https://baldowski.b-cdn.net/10771-new_cart_photo/botki-zielone.jpg","36,38,40,41",Zielone botki na 5-centymetrowym obcasie.,Wykonane ze skóry naturalnej., zielony
BOTKI,Botki brązowe,610,,   D02662-SKV1-021,"https://baldowski.b-cdn.net/10675-new_cart_photo/botki-brazowe.jpg,https://baldowski.b-cdn.net/10676-new_cart_photo/botki-brazowe.jpg","36,37,38,39,40,41",Botki brązowe na 5-centymetrowym obcasie.,Wykonane ze skóry naturalnej., brązowy
