kategoria,Nazwa,Cena,Cena przed obnizka,Nr referencyjny,Adres zdjecia,Rozmiary,Opis,Material wykonania,Kolor
SANDAŁY I KLAPKI,Sandały na szpilce złote,590,,   D01511-3436-019/ 0511,"https://baldowski.b-cdn.net/8560-new_cart_photo/sandały-na-szpilce-złote.jpg,https://baldowski.b-cdn.net/8562-new_cart_photo/sandały-na-szpilce-złote.jpg","36,37",Sandały na szpilce na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., złoty
SANDAŁY I KLAPKI,Sandały na szpilce turkusowe,590,,   D01511-3436-023,"https://baldowski.b-cdn.net/8774-new_cart_photo/sandały-na-szpilce-turkusowe.jpg,https://baldowski.b-cdn.net/8776-new_cart_photo/sandały-na-szpilce-turkusowe.jpg","38,39,40,41",Sandały na szpilce na 9-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., turkus
SANDAŁY I KLAPKI,Sandały na szpilce czerwone,670,,   D01511-3436-024,"https://baldowski.b-cdn.net/8830-new_cart_photo/sandały-na-szpilce-czerwone.jpg,https://baldowski.b-cdn.net/8832-new_cart_photo/sandały-na-szpilce-czerwone.jpg","36,37,38,39,40",Sandały na szpilce na 9-centymetrowym obcasie., wykonane ze skóry naturalnej., czerwony
CZÓŁENKA,Czółenka grafitowe,590,,   D02727-3262-004,"https://baldowski.b-cdn.net/7705-new_cart_photo/czolenka-szare.jpg,https://baldowski.b-cdn.net/7707-new_cart_photo/czolenka-szare.jpg","36,37,38,40,41",Czółenka grafitowe na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., grafitowy
CZÓŁENKA,Czółenka czarne,530,,   W00203-3262-001/p2,"https://baldowski.b-cdn.net/10614-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/10616-new_cart_photo/czolenka-czarne.jpg","35,36,37,38,39,40,41",Czarne czółenka na 10-centymetrowym obcasie.,Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka granatowe,530,,   W00203-3262-002/p2,"https://baldowski.b-cdn.net/10623-new_cart_photo/czolenka-granatowe.jpg,https://baldowski.b-cdn.net/10625-new_cart_photo/czolenka-granatowe.jpg","35,36,37,38,39,40,41",Czółenka granatowe  na 10-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., granatowy
CZÓŁENKA,Czółenka czarne,340,"440,00 ",   D03037-4330-007,"https://baldowski.b-cdn.net/8629-new_cart_photo/czolenka-czarne.jpg,https://baldowski.b-cdn.net/8631-new_cart_photo/czolenka-czarne.jpg","36,37","Czarne czółenka na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka w multikolorze,390,"490,00 ",   D03037-4330-008,"https://baldowski.b-cdn.net/8637-new_cart_photo/czolenka-w-multikolorze.jpg,https://baldowski.b-cdn.net/8639-new_cart_photo/czolenka-w-multikolorze.jpg","36,37,40","Czółenka w multikolorze na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., multikolor
CZÓŁENKA,Czółenka  camel,400,"500,00 ",   D02408-4330-008,"https://baldowski.b-cdn.net/6199-new_cart_photo/czolenka-camel.jpg,https://baldowski.b-cdn.net/6201-new_cart_photo/czolenka-camel.jpg",38,"Czółenka w kolorze camel na 7,5-centymetrowym obcasie.", wykonane ze skóry naturalnej zamszowej., camel
CZÓŁENKA,Czółenka w kolorze kaszmirowym,340,"440,00 ",   D02570-4330-003,"https://baldowski.b-cdn.net/6787-new_cart_photo/czolenka-w-kolorze-kaszmirowym.jpg,https://baldowski.b-cdn.net/6789-new_cart_photo/czolenka-w-kolorze-kaszmirowym.jpg","36,40,41","Czółenka koloru kaszmirowego  na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej zamszowej., kaszmir
